iter	Passed	Remaining
228	428	1442
229	429	1436
230	430	1432
231	431	1428
232	432	1422
233	433	1417
234	433	1412
235	434	1406
236	435	1401
237	436	1397
238	437	1393
239	440	1393
240	441	1390
241	442	1385
242	443	1381
243	444	1377
244	445	1372
245	446	1367
246	446	1362
247	447	1357
248	448	1352
249	449	1349
250	452	1350
251	453	1347
252	454	1342
253	455	1339
254	456	1334
255	457	1330
256	458	1326
257	459	1321
258	460	1316
259	461	1312
260	462	1308
261	463	1305
262	465	1305
263	467	1303
264	468	1299
265	469	1295
266	470	1291
267	471	1287
268	472	1283
269	472	1278
270	473	1274
271	474	1270
272	476	1267
273	479	1269
274	480	1267
275	481	1263
276	482	1260
277	483	1256
278	484	1253
279	485	1249
280	487	1246
281	488	1243
282	489	1240
283	490	1235
284	490	1231
285	491	1227
286	492	1223
287	493	1220
288	494	1217
289	497	1217
290	499	1216
291	500	1212
292	501	1208
293	501	1205
294	502	1201
295	503	1197
296	504	1193
297	505	1189
298	506	1186
299	507	1183
300	509	1184
301	511	1182
302	512	1179
303	513	1176
304	514	1172
305	515	1169
306	516	1165
307	517	1161
308	517	1157
309	518	1154
310	520	1153
311	523	1154
312	524	1152
313	525	1148
314	526	1145
315	527	1142
316	528	1139
317	529	1136
318	530	1132
319	531	1129
320	533	1127
321	535	1128
322	537	1126
323	538	1123
324	539	1120
325	540	1117
326	541	1114
327	542	1110
328	543	1107
329	543	1104
330	545	1101
331	546	1099
332	549	1099
333	550	1098
334	551	1095
335	552	1092
336	553	1089
337	554	1086
338	555	1083
339	556	1080
340	557	1078
341	559	1076
342	561	1074
343	562	1073
344	563	1069
345	564	1067
346	565	1064
347	566	1061
348	567	1058
349	568	1055
350	569	1052
351	570	1050
352	571	1048
353	573	1045
354	574	1043
355	575	1040
356	576	1038
357	577	1035
358	578	1032
359	579	1030
360	580	1027
361	581	1024
362	583	1024
363	586	1024
364	588	1023
365	589	1020
366	590	1018
367	591	1015
368	592	1012
369	593	1010
370	594	1008
371	597	1008
372	599	1007
373	600	1004
374	601	1002
375	602	999
376	603	996
377	604	993
378	604	991
379	605	988
380	607	987
381	610	987
382	611	985
383	613	983
384	614	980
385	615	978
386	616	975
387	616	973
388	617	970
389	618	967
390	620	966
391	622	965
392	623	962
393	624	960
394	625	958
395	626	956
396	628	953
397	629	951
398	630	949
399	631	946
400	632	944
401	634	943
402	636	942
403	637	940
404	638	937
405	639	935
406	640	932
407	640	929
408	641	927
409	642	924
410	643	922
411	645	920
412	646	919
413	648	917
414	649	915
415	650	913
416	651	910
417	652	907
418	653	905
419	654	903
420	655	901
421	656	899
422	659	899
423	661	898
424	662	896
425	663	894
426	664	891
427	665	889
428	666	887
429	667	885
430	668	882
431	670	881
432	672	880
433	673	878
434	675	876
435	676	874
436	676	872
437	677	869
438	678	867
439	679	864
440	680	862
441	681	860
442	682	858
443	684	857
444	685	855
445	686	853
446	687	850
447	688	848
448	689	846
449	690	843
450	691	841
451	692	839
452	693	837
453	694	835
454	697	835
455	698	833
456	700	832
457	701	829
458	702	827
459	703	825
460	704	823
461	705	820
462	705	818
463	706	816
464	708	814
465	710	814
466	712	812
467	713	810
