iter	Passed	Remaining
204	441	1711
205	442	1706
206	444	1701
207	445	1696
208	447	1693
209	448	1688
210	450	1682
211	451	1677
212	452	1672
213	453	1667
214	455	1662
215	456	1657
216	457	1652
217	459	1647
218	461	1644
219	462	1641
220	464	1637
221	465	1633
222	467	1628
223	468	1623
224	470	1618
225	471	1614
226	472	1609
227	474	1605
228	475	1601
229	477	1597
230	478	1593
231	480	1589
232	481	1585
233	482	1580
234	484	1576
235	485	1571
236	486	1567
237	488	1563
238	489	1559
239	491	1555
240	492	1551
241	494	1547
242	495	1543
243	496	1539
244	498	1535
245	499	1530
246	500	1526
247	502	1523
248	503	1518
249	504	1514
250	506	1511
251	508	1508
252	509	1504
253	510	1500
254	512	1496
255	513	1492
256	514	1487
257	515	1483
258	517	1480
259	518	1476
260	520	1472
261	521	1470
262	523	1467
263	524	1463
264	526	1459
265	527	1455
266	528	1451
267	530	1447
268	531	1443
269	532	1440
270	534	1436
271	535	1433
272	537	1430
273	538	1427
274	540	1424
275	541	1420
276	542	1416
277	544	1412
278	545	1409
279	546	1406
280	548	1402
281	549	1399
282	552	1399
283	553	1396
284	555	1393
285	556	1389
286	558	1388
287	560	1385
288	561	1382
289	563	1379
290	565	1377
291	567	1375
292	569	1373
293	570	1370
294	572	1368
295	573	1364
296	575	1361
297	576	1358
298	578	1355
299	579	1352
300	581	1350
301	583	1348
302	585	1345
303	586	1342
304	587	1339
305	589	1336
306	590	1333
307	591	1329
308	593	1327
309	595	1324
310	596	1322
311	598	1319
312	599	1316
313	601	1313
314	602	1310
315	603	1307
316	605	1304
317	606	1300
318	608	1298
319	609	1295
320	611	1293
321	613	1290
322	614	1288
323	616	1285
324	617	1282
325	618	1279
326	620	1276
327	621	1273
328	622	1270
329	624	1267
330	626	1265
331	628	1263
332	629	1261
333	630	1258
334	632	1255
335	633	1251
336	634	1249
337	636	1246
338	637	1243
339	639	1240
340	641	1238
341	642	1236
342	644	1233
343	645	1231
344	647	1228
345	648	1225
346	649	1223
347	651	1220
348	652	1217
349	653	1214
350	655	1212
351	656	1209
352	658	1206
353	659	1203
354	660	1200
355	662	1197
356	663	1194
357	664	1192
358	666	1189
359	667	1187
360	669	1184
361	670	1182
362	672	1180
363	673	1177
364	675	1174
365	676	1172
366	678	1169
367	679	1166
368	680	1164
369	682	1161
370	683	1158
371	685	1156
372	686	1153
373	687	1151
374	689	1148
375	690	1145
376	691	1143
377	693	1140
378	694	1137
379	695	1135
380	697	1132
381	698	1130
382	700	1127
383	702	1127
384	704	1125
385	706	1123
386	707	1120
387	709	1118
388	710	1116
389	712	1113
390	713	1111
391	714	1108
392	716	1106
393	717	1103
394	718	1101
395	720	1098
396	721	1095
397	723	1094
398	724	1091
399	726	1089
400	727	1086
401	728	1084
402	730	1081
403	731	1079
404	732	1076
405	733	1073
406	735	1071
407	737	1069
408	738	1067
409	740	1065
410	741	1062
411	743	1060
412	744	1058
413	745	1055
414	747	1053
415	748	1050
416	749	1048
417	751	1045
418	752	1043
419	754	1041
420	755	1039
421	756	1036
422	757	1033
423	759	1031
424	760	1028
425	761	1026
426	762	1023
427	764	1021
428	765	1019
429	767	1017
430	768	1015
431	770	1012
432	771	1010
433	773	1008
434	774	1006
435	776	1003
436	777	1001
437	778	999
438	780	997
439	782	995
440	783	993
441	786	992
442	787	990
443	788	987
444	790	985
445	791	982
446	792	980
447	793	978
448	795	975
449	796	973
450	798	971
451	799	969
452	800	967
453	802	964
454	803	962
455	804	960
456	806	957
457	807	955
